gene,DK20193B_01,DK20193B_02,DK20193B_03,DK20193B_04,DK20193B_05,DK20193B_06,DK20193B_07,DK20193B_08,DK20193B_09,DK20193B_10,DK20193B_11
PCMT1,44.301239479057,64.8701538184178,46.0950034097285,37.4488299360088,55.8621593320019,41.9776356661569,52.9050989737182,62.4891385182607,39.9004630731591,47.3957826984526,49.9383042010696
PCMTD1,25.011368061731,33.9174765700362,35.2770891531186,38.9790781034011,33.6409315063377,28.1851758718108,33.1876569076714,36.6282717642186,34.8000222872395,32.9030069471879,31.440485179769
PCMTD2,17.9103218465225,20.1676085166797,21.7414324220941,23.9249322510213,18.7365439545447,13.420684669887,16.1603754842713,19.9412553025118,19.5798839974776,21.7162521090382,13.7042534465149
PCNA,10.3417238470252,16.9042057053984,14.3472824266074,17.268327484501,27.0469962915789,12.6151902171179,21.9559414437054,12.4480208626191,27.4078966604074,8.60542432174085,15.5435275253145
PCNA-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCNAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCNP,43.3413170082696,54.7431995534727,67.6443202979492,71.0543243099078,60.7241489013053,31.9275209417387,67.4432163758696,64.0251431546352,75.3796630657848,59.7174035221125,65.4108302419729
PCNT,17.7780268275265,22.0037620026832,20.3248111577474,17.591266791842,24.1087078118246,12.3921418259094,19.570726867169,22.7858383953297,17.8865437807646,15.8107501383039,13.8549345529187
PCOLCE,0.0,3.14200256938474,1.50004380309051,2.88871404216034,1.61590299713798,3.76842653090712,1.14777394507025,3.90441395112244,7.16390817416126,2.05649911039839,2.36380244633009
PCOLCE-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCOLCE2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCP2,0.0,0.0,6.51843068939547,8.7870217913354,5.6175168570033,1.96508078757604,5.98517314704014,0.0,6.22614337024746,4.46825182248578,3.08156649387454
PCP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.995978919825,0.0
PCP4L1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCSK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCSK1N,0.0,2.40777869555501,0.0,2.21367868888353,4.95319367145418,3.46538371621735,1.75912373795062,5.98405922499372,0.0,0.0,1.81142855395211
PCSK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400644482428829
PCSK4,0.797645481142943,0.0,1.65988453620671,0.799131958384523,0.0,0.416998017764313,0.0,0.0,0.0,0.568908565376604,1.30784151743673
PCSK5,4.26366768631161,6.07574433091251,4.43630424000649,4.60019902234214,6.24939875595844,3.42920993122851,12.2723645804871,4.7372751773203,7.17095035323994,6.31591567819307,5.64643724365607
PCSK6,1.0256943209427,0.558854211945904,1.06722484014344,0.0,0.0,0.0,1.63319612737268,0.0,1.01937033308223,1.0973414225446,0.0
PCSK7,19.0897039594302,20.8022239076507,19.2419411982645,25.1019289180831,22.7340835459413,18.7121869120906,19.947519597083,17.7718152257987,19.5648802549508,10.2115817895644,21.5187533045222
PCSK9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCTP,20.3283885097474,19.6906930847322,16.4511573762537,9.05167649574423,2.53168554677324,11.8082223985871,17.9825318279865,12.2343338507125,8.97913442332012,14.4989153914935,12.9620501650789
PCYOX1,14.3335869388052,7.57306180011649,12.6542657445017,19.1470649921136,23.8553803073858,11.8077831862978,16.2528376748463,18.0371289837979,15.1085584331391,11.7721857203017,13.1752202560002
PCYOX1L,13.7328849595445,18.9554761045987,12.3837406872153,11.9240136667771,10.261712486725,11.4869794999349,24.0533105070386,15.7033661852279,17.2877376401948,7.18283303553496,13.5100900303774
PCYT1A,36.1853514420225,27.0387472106417,15.0602007322235,25.8948469914772,27.8115575603031,11.8908120019062,24.6931446349774,35.4663896755345,36.9897410108088,20.6469233394579,24.5797784259823
PCYT1B,0.420887721893411,0.0,0.875859059652775,1.26501624120556,0.0,0.0,2.34560398938486,0.759914771528604,1.25487813034506,0.600383593232183,1.03514866545001
PCYT1B-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCYT2,2.84991576423007,3.88197388834907,2.22398196553383,4.28284022114073,5.59009761670065,2.97979303481125,2.83617112723277,2.57276819231985,3.54043051926213,5.58981301819698,3.50460033226487
PDAP1,59.0607682697971,44.4834651604602,45.1854027706699,59.1708328159881,80.8011591651815,39.0492513414639,51.1696320323619,53.3172481536689,56.9702537732483,42.1241989589971,54.115164966932
PDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDCD1,1.10582668976635,0.0,1.15060178077965,2.21577497552072,2.47894209788213,0.578110888264162,0.0,0.0,1.09900864035429,0.0,2.71971588285139
PDCD10,66.6167809888777,82.2007970857916,72.37207979508,60.8520214753746,117.491873122441,65.5554467658474,74.0949706989562,84.0169612804452,63.2851955318105,84.5459219002292,77.9043448859713
PDCD11,14.7498066420592,20.3852662080231,14.2240752492686,22.3461520636618,20.161451443034,10.5320904154003,17.7576116825101,18.5116853690001,13.9437990894488,15.3952336360693,18.2856067243834
PDCD1LG2,0.0,0.0,0.971639728511247,0.0,0.0,0.0,0.0,0.0,1.85614254172591,0.0,0.0
PDCD2,17.1454316253081,21.9328427042594,14.7371044555142,21.658440105441,20.0530828371289,12.4708095347734,16.0241405545396,11.4403192056508,20.7440073271596,11.6970361146822,19.5562589878315
PDCD2L,10.0842226631543,8.79109527185371,6.29552062436952,6.06180925945567,6.78176905534596,6.32627044566792,17.6626353205111,18.207111689172,6.01322862287113,7.19241916849178,16.5343694432416
PDCD4,109.214307892896,104.927584421429,128.429317529681,119.129480034194,108.650920947573,65.2039977395363,100.841500564113,116.678668157505,106.614177431956,94.4885659329422,82.6480567565775
PDCD4-AS1,5.7953001706862,12.6303825369809,9.64792441094442,20.9019606623811,16.8887926152486,4.24158380749248,14.7644171991171,13.602474410362,13.8229652511856,6.61345619621914,9.50213390336168
PDCD5,26.9926391549352,8.4040354910346,13.3740834397723,20.604146387671,17.2884723524284,16.1272893254451,18.4199715125198,22.0469384361674,20.4390203493957,15.585026279684,18.9676607966388
PDCD6,65.8468643182106,65.0269959073549,92.06436239937,92.7697152746648,48.4343788217041,59.1659566350353,60.614599354635,57.5858057636912,67.4859085446099,68.9787851390897,43.8605105900545
PDCD6IP,19.1948662312211,26.4661806498662,26.901154549889,29.0421871330243,30.7352230586125,17.6121162122101,33.6824101693207,26.5227717243305,33.4812373976569,22.9105452721672,19.9111303010227
PDCD6IPP2,1.11214569942216,0.0,1.1571766480984,2.22843654680941,1.2465537406493,0.581414379054243,0.885425614768477,2.00798431772011,0.0,0.79322108543938,1.82350474431178
PDCD7,34.4059104486267,45.526526180738,38.3560832147661,42.6771783429652,35.8094533003079,34.6890865931697,30.6529316652574,33.2785896219835,26.0524026480898,24.5394948213796,35.5938404142233
PDCL,3.78526088944333,8.24966638963258,10.2401693656681,8.34309306828161,10.1825459527917,5.14509320848649,7.23265007849778,8.884598358794,8.27622973507644,5.93951606925436,6.82705990171837
PDCL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44757254710191
