gene,H10,H1,H2,H3,H4,H5,H6,H7,H8,H9
DPYD-AS1,1.696409367,0.995186156,1.471079186,0.700853333,1.249430428,1.245892859,1.00962306,2.272044226,1.621709786,1.002276216
RAPGEF2,78.12617735,29.7623151,36.56531047,34.45056041,40.61607337,35.53483523,50.73053559,43.5559179,28.38296978,42.19380633
PYROXD2,6.491563917,7.181230934,10.02016167,9.386719994,5.5248639,6.621659976,7.726946988,9.331899941,8.462338377,6.903647455
SPDYE21P,1.586406146,0.81247534,1.849535338,0.961263134,1.110712109,1.265791199,0.659409364,1.211873976,1.179539231,0.981916443
SLC35A5,10.91316871,13.80595523,10.45502193,14.59946591,8.420457182,10.51697352,12.50398861,13.31705922,18.78774667,10.04444117
SEM1,3.712168905,3.934530274,4.184816986,3.374014079,1.626144395,3.546005532,2.729145571,5.342250273,4.554490907,4.368032649
SULT1A1,28.52084462,19.3298909,22.78541325,26.08566822,58.05464203,19.64913864,19.4666393,59.16796928,69.87563699,17.3045368
AP1S3,1.64921269,0.60107054,0.914631796,0.662339987,0.483356808,0.895121051,0.143480026,0.753400238,1.136612379,0.747788729
AGL,9.591130682,10.43996448,11.1226896,10.54734003,5.411849873,10.16555096,8.159311752,11.699649,10.42516101,10.51434249
SCFD1,15.82849146,14.94375963,20.79373004,15.96409716,11.8113102,17.88491112,16.65387472,18.34190772,20.20851736,19.40093151
AC009005.1,4.219004862,4.132446825,0.503058062,5.752020787,4.272618736,1.420173825,4.685618101,1.294933877,5.293608434,2.937803183
VPS36,17.37471056,20.25193018,21.64100781,19.68317635,9.170478128,21.00994014,16.30798227,22.8351184,21.59849847,20.86042178
AC093525.4,6.95699195,5.497218768,4.740144044,1.806644147,3.578615548,6.244845687,4.647471228,6.344893876,3.800370408,5.997748148
AC079209.1,2.00783407,2.036051758,1.53220149,2.37241321,1.988163501,1.622073537,1.126684486,0.591611516,2.495247604,1.304900108
DGCR11,10.61123075,4.653641498,5.404920343,8.146422846,11.40683706,6.750743465,7.322601008,11.13034854,7.09093503,8.799698033
ZBTB46,1.968518247,3.361679941,3.201407981,2.111841248,0.639092738,2.665002665,2.233390036,2.567332826,3.115827882,1.947486135
ARHGAP12,24.04585869,21.49428276,26.2713982,17.10728929,8.54072037,21.13618698,16.77668239,30.06850419,21.8486898,21.11247129
MINDY2,14.83766866,13.16681,12.22033602,15.02104981,11.72778255,13.8818962,14.21524492,14.45466173,15.33750346,14.96299129
BX284668.4,0.897991931,4.966975225,1.71317017,2.040476534,2.020896329,0.806069789,2.099595761,5.732886396,2.575349435,4.168634766
AC139887.1,3.190069236,4.411229746,8.36817737,1.449737174,2.153738465,2.147640487,2.237611147,2.34989749,2.287198449,2.221328456
SRP14-AS1,1.049896204,3.448018187,2.566305258,1.848873674,1.0041692,2.709470488,2.209286955,2.642395279,2.509162856,2.497822926
MKLN1,26.77053868,15.56516955,23.23771485,20.01626013,21.27551433,20.83359186,19.02207013,23.17845136,22.69550862,22.83145136
RNU6-1316P,2.111943985,1.946931647,6.043683656,0.0,0.0,1.895756726,1.975175272,2.074292229,0.0,3.921604558
AHI1,3.253180797,3.555266486,2.327381284,2.003018511,0.637649277,4.286058686,2.551779233,2.937507007,3.360731285,2.971650659
AC020928.1,0.920054805,1.542124077,1.356338246,1.672487403,0.602341231,1.276351063,1.408045738,1.971604495,1.599165766,0.93186643
COL7A1,0.803496348,0.455825746,0.746794259,0.61794867,0.704749033,0.702753645,1.02121789,0.748701269,0.768115241,0.669481765
ZMIZ2,39.23494523,49.80798645,62.86943156,39.94583809,23.28521049,45.13004332,31.26975875,52.45697193,40.23507808,40.89048647
AKT1S1,19.44151747,18.94873199,21.65486513,17.16461522,17.57253371,18.4506663,18.6286881,21.00831021,17.48322747,19.45285385
ABCA2,36.19468579,36.94821807,39.95228368,27.61883493,18.53920802,31.72455881,24.84117192,32.64860618,27.47606376,33.3651629
SLC6A16,4.056059134,4.673934268,6.28717744,5.184250466,2.852501626,4.835522853,4.149020577,6.411343916,4.362136748,6.060562532
TDRKH-AS1,1.199421299,0.921422515,1.716173098,0.90846808,0.71980041,1.435524813,0.18695787,2.356076011,1.337707069,1.484779289
IL6R,101.8328137,114.1439592,107.1510553,106.4030252,121.5456557,95.5651759,135.5350396,104.738739,121.9477645,90.90246549
TMEM161B-AS1,3.905121926,5.44737352,5.979693313,6.491648075,1.526393605,6.180534207,4.805562725,3.835501377,6.729519385,4.245828228
GIGYF1,76.33775265,79.15851973,80.71292777,66.23687134,56.96327391,69.38190065,71.48666738,75.94842415,66.7977459,66.55785582
PRMT5,6.683954589,12.7727274,11.62246857,18.35183169,10.78008777,12.06201258,15.10683505,15.11270052,19.96760551,11.24767901
RF00019,2.303938893,2.123925433,0.0,0.0,0.0,4.136196494,0.0,0.0,0.0,2.139057032
AL356481.1,4.040240667,3.216669678,3.328405492,2.670691348,2.479747186,2.967271398,2.232806829,3.787837983,4.037893559,3.239586374
